Date,Open,High,Low,Close,Adj Close,Volume
2019-05-01,59.875000,59.962502,58.584000,58.666000,58.666000,74340000
2019-05-02,58.630001,58.969002,57.916500,58.325500,58.325500,45098000
2019-05-03,58.870499,59.570000,58.677502,59.477501,59.477501,41588000
2019-05-06,58.599998,59.771500,58.557999,59.673000,59.673000,31774000
2019-05-07,59.290501,59.738499,58.250000,58.943001,58.943001,36604000
2019-05-08,58.864498,59.213501,58.381500,58.539001,58.539001,25520000
2019-05-09,58.130001,58.703499,57.731998,58.398499,58.398499,29556000
2019-05-10,58.442001,58.813999,57.318501,58.382000,58.382000,31650000
2019-05-13,57.262001,57.598499,56.275002,56.829498,56.829498,45626000
2019-05-14,57.116001,57.243500,56.176498,56.243000,56.243000,40392000
2019-05-15,56.127499,58.915001,56.070000,58.540001,58.540001,59302000
2019-05-16,58.591999,59.708000,58.422501,59.224998,59.224998,35308000
2019-05-17,58.791500,59.314499,58.320999,58.438999,58.438999,25362000
2019-05-20,57.650002,57.650002,56.907001,57.233002,57.233002,30602000
2019-05-21,57.723999,57.900002,57.165501,57.722000,57.722000,20562000
2019-05-22,57.562500,58.188999,57.549999,57.792500,57.792500,18826000
2019-05-23,57.303501,57.502499,56.658001,57.266998,57.266998,25214000
